,rainfall_mm,snow_depth_cm,air_temp,max_temp,min_temp,min_ground_temp
0,-1.0,-1.0,0.7,4.4,-1.4,0.0
1,0.0,-1.0,-1.7,0.0,-2.8,-8.6
2,1.0,-1.0,-2.0,2.8,-6.6,-10.8
3,-1.0,-1.0,4.4,5.4,2.8,0.8
4,0.0,-1.0,3.5,6.3,1.4,2.5
5,-1.0,-1.0,-2.0,2.4,-5.1,-1.1
6,0.9,-1.0,-2.4,1.9,-7.6,-12.0
7,1.2,-1.0,1.4,3.4,-3.3,-5.6
8,0.2,-1.0,-1.7,2.0,-4.5,-6.0
9,-1.0,-1.0,3.3,4.4,2.0,0.9
10,0.0,-1.0,-0.4,4.1,-3.5,-2.6
11,3.3,-1.0,1.1,2.8,-3.5,-9.1
12,4.0,-1.0,1.5,3.9,0.4,0.1
13,-1.0,-1.0,-0.9,0.9,-2.3,-1.3
14,-1.0,0.0,-4.0,-2.3,-4.8,-4.0
15,0.0,2.0,-6.9,-4.2,-8.9,-7.4
16,2.4,2.0,-3.6,2.1,-11.7,-13.7
17,-1.0,-1.0,2.3,3.6,1.4,1.2
18,-1.0,-1.0,3.9,5.6,2.2,1.9
19,-1.0,-1.0,1.8,7.6,-2.2,2.9
20,-1.0,-1.0,-4.1,-1.6,-5.6,-8.1
21,6.0,-1.0,1.0,2.9,-3.9,-4.1
22,1.3,-1.0,4.3,5.0,2.7,2.1
23,-1.0,-1.0,4.5,7.0,2.6,3.8
24,-1.0,-1.0,1.3,3.0,-0.1,-0.8
25,3.0,-1.0,2.3,3.0,1.4,0.9
26,1.5,-1.0,3.2,5.0,1.2,1.2
27,2.5,-1.0,4.0,4.6,2.6,0.7
28,3.4,-1.0,5.4,6.5,4.3,4.2
29,4.0,-1.0,4.0,5.7,1.8,3.2
30,8.3,-1.0,3.8,4.5,2.1,0.3
31,8.3,-1.0,4.9,5.5,4.0,4.1
32,1.8,-1.0,4.2,4.8,3.9,2.4
33,2.0,-1.0,4.1,4.9,2.9,2.7
34,4.8,-1.0,5.2,5.7,4.7,4.2
35,0.7,-1.0,4.9,5.7,4.4,4.6
36,-1.0,-1.0,3.5,4.8,1.6,2.5
37,1.0,-1.0,3.7,4.5,0.5,-0.7
38,0.3,-1.0,3.2,5.0,1.8,3.6
39,-1.0,-1.0,0.8,1.9,0.3,0.1
40,0.1,-1.0,1.4,1.6,0.8,0.5
41,3.2,-1.0,2.1,2.1,1.2,1.2
42,-1.0,-1.0,4.1,4.8,1.6,1.3
43,0.8,-1.0,2.1,4.2,1.2,0.9
44,10.8,-1.0,3.2,3.6,2.5,2.2
45,1.9,-1.0,4.9,5.4,2.1,1.8
46,10.9,-1.0,4.4,5.1,3.7,3.5
47,2.9,-1.0,1.5,3.7,0.2,1.2
48,1.3,-1.0,-3.5,0.2,-4.4,-3.5
49,0.3,3.0,-7.8,-4.3,-9.0,-7.7
50,-1.0,4.0,-10.9,-8.2,-13.0,-10.8
51,0.0,4.0,-14.4,-12.8,-16.2,-18.3
52,0.3,4.0,-11.4,-9.1,-14.9,-17.2
53,0.0,5.0,-11.9,-8.5,-12.9,-16.799999999999997
54,-1.0,5.0,-13.3,-12.1,-14.5,-16.4
55,0.1,6.0,-13.8,-11.6,-15.3,-14.3
56,0.1,6.0,-13.1,-9.6,-17.5,-22.0
57,0.5,6.0,-11.8,-9.0,-15.7,-20.6
58,0.0,7.0,-11.0,-9.2,-13.2,-19.6
59,0.0,7.0,-14.5,-12.2,-15.6,-20.7
60,0.0,7.0,-15.6,-12.3,-17.6,-22.0
61,-1.0,7.0,-16.3,-13.8,-19.9,-24.8
62,-1.0,8.0,-8.0,-4.9,-17.2,-22.8
63,0.1,7.0,-7.5,-5.3,-8.7,-8.1
64,0.0,7.0,-7.7,-5.2,-8.9,-8.1
65,-1.0,7.0,-7.4,-5.6,-9.1,-8.9
66,0.0,7.0,-8.1,-6.1,-8.7,-9.8
