,Vuosi,Kk,Pv,Aikavyöhyke,Sademäärä (mm),Lumensyvyys (cm),Ilman lämpötila (degC),Ylin lämpötila (degC),Alin lämpötila (degC),Maanpintaminimi (degC)
0,2013.0,11.0,24.0,UTC,-1,-1,0.7,4.4,-1.4,0
1,2013.0,11.0,25.0,UTC,0,-1,-1.7,0,-2.8,-8.6
2,2013.0,11.0,26.0,UTC,1,-,-2,2.8,-6.6,-10.8
3,2013.0,11.0,27.0,UTC,-1,-1,4.4,5.4,2.8,0.8
4,2013.0,11.0,28.0,UTC,0,-1,3.5,6.3,1.4,2.5
5,2013.0,11.0,29.0,UTC,-1,-1,-2,2.4,-5.1,-1.1
6,2013.0,11.0,30.0,UTC,0.9,-1,-2.4,1.9,-7.6,-12
7,2013.0,12.0,1.0,UTC,1.2,-1,1.4,3.4,-3.3,-5.6
8,2013.0,12.0,2.0,UTC,0.2,-1,-1.7,2,-4.5,-6
9,2013.0,12.0,3.0,UTC,-1,-1,3.3,4.4,2,0.9
10,2013.0,12.0,4.0,UTC,0,-1,-0.4,4.1,-3.5,-2.6
11,2013.0,12.0,5.0,UTC,3.3,-1,1.1,2.8,-3.5,-9.1
12,2013.0,12.0,6.0,UTC,4,-1,1.5,3.9,0.4,0.1
13,2013.0,12.0,7.0,UTC,-1,-1,-0.9,0.9,-2.3,-1.3
14,2013.0,12.0,8.0,UTC,-1,0,-4,-2.3,-4.8,-4
15,2013.0,12.0,9.0,UTC,0,2,-6.9,-4.2,-8.9,-7.4
16,2013.0,12.0,10.0,UTC,2.4,2,-3.6,2.1,-11.7,-13.7
17,2013.0,12.0,11.0,UTC,-1,-1,2.3,3.6,1.4,1.2
18,2013.0,12.0,12.0,UTC,-1,-1,3.9,5.6,2.2,1.9
19,2013.0,12.0,13.0,UTC,-1,-1,1.8,7.6,-2.2,2.9
20,2013.0,12.0,14.0,UTC,-1,-1,-4.1,-1.6,-5.6,-8.1
21,2013.0,12.0,15.0,UTC,6,-1,1,2.9,-3.9,-4.1
22,2013.0,12.0,16.0,UTC,1.3,-1,4.3,5,2.7,2.1
23,2013.0,12.0,17.0,UTC,-1,-1,4.5,7,2.6,3.8
24,2013.0,12.0,18.0,UTC,-1,-1,1.3,3,-0.1,-0.8
25,2013.0,12.0,19.0,UTC,3,-1,2.3,3,1.4,0.9
26,2013.0,12.0,20.0,UTC,1.5,-1,3.2,5,1.2,1.2
27,2013.0,12.0,21.0,UTC,2.5,-1,4,4.6,2.6,0.7
28,2013.0,12.0,22.0,UTC,3.4,-1,5.4,6.5,4.3,4.2
29,2013.0,12.0,23.0,UTC,4,-1,4,5.7,1.8,3.2
30,2013.0,12.0,24.0,UTC,8.3,-1,3.8,4.5,2.1,0.3
31,2013.0,12.0,25.0,UTC,8.3,-1,4.9,5.5,4,4.1
32,2013.0,12.0,26.0,UTC,1.8,-1,4.2,4.8,3.9,2.4
33,2013.0,12.0,27.0,UTC,2,-1,4.1,4.9,2.9,2.7
34,2013.0,12.0,28.0,UTC,4.8,-1,5.2,5.7,4.7,4.2
35,2013.0,12.0,29.0,UTC,0.7,-1,4.9,5.7,4.4,4.6
36,2013.0,12.0,30.0,UTC,-1,-1,3.5,4.8,1.6,2.5
37,2013.0,12.0,31.0,UTC,1,-1,3.7,4.5,0.5,-0.7
38,2014.0,1.0,1.0,UTC,0.3,-1,3.2,5,1.8,3.6
39,2014.0,1.0,2.0,UTC,-1,-1,0.8,1.9,0.3,0.1
40,2014.0,1.0,3.0,UTC,0.1,-1,1.4,1.6,0.8,0.5
41,2014.0,1.0,4.0,UTC,3.2,-1,2.1,2.1,1.2,1.2
42,2014.0,1.0,5.0,UTC,-1,-1,4.1,4.8,1.6,1.3
43,2014.0,1.0,6.0,UTC,0.8,-1,2.1,4.2,1.2,0.9
44,2014.0,1.0,7.0,UTC,10.8,-1,3.2,3.6,2.5,2.2
