,date,rainfall_mm,snow_depth_cm,air_temp,max_temp,min_temp,min_ground_temp
0,2013-11-24,0.0,0.0,0.7,4.4,-1.4,0.0
1,2013-11-25,0.0,0.0,-1.7,0.0,-2.8,-8.6
2,2013-11-26,1.0,0.0,-2.0,2.8,-6.6,-10.8
3,2013-11-27,0.0,0.0,4.4,5.4,2.8,0.8
4,2013-11-28,0.0,0.0,3.5,6.3,1.4,2.5
5,2013-11-29,0.0,0.0,-2.0,2.4,-5.1,-1.1
6,2013-11-30,0.9,0.0,-2.4,1.9,-7.6,-12.0
7,2013-12-01,1.2,0.0,1.4,3.4,-3.3,-5.6
8,2013-12-02,0.2,0.0,-1.7,2.0,-4.5,-6.0
9,2013-12-03,0.0,0.0,3.3,4.4,2.0,0.9
10,2013-12-04,0.0,0.0,-0.4,4.1,-3.5,-2.6
11,2013-12-05,3.3,0.0,1.1,2.8,-3.5,-9.1
12,2013-12-06,4.0,0.0,1.5,3.9,0.4,0.1
13,2013-12-07,0.0,0.0,-0.9,0.9,-2.3,-1.3
14,2013-12-08,0.0,0.0,-4.0,-2.3,-4.8,-4.0
15,2013-12-09,0.0,2.0,-6.9,-4.2,-8.9,-7.4
16,2013-12-10,2.4,2.0,-3.6,2.1,-11.7,-13.7
17,2013-12-11,0.0,0.0,2.3,3.6,1.4,1.2
18,2013-12-12,0.0,0.0,3.9,5.6,2.2,1.9
19,2013-12-13,0.0,0.0,1.8,7.6,-2.2,2.9
20,2013-12-14,0.0,0.0,-4.1,-1.6,-5.6,-8.1
21,2013-12-15,6.0,0.0,1.0,2.9,-3.9,-4.1
22,2013-12-16,1.3,0.0,4.3,5.0,2.7,2.1
23,2013-12-17,0.0,0.0,4.5,7.0,2.6,3.8
24,2013-12-18,0.0,0.0,1.3,3.0,-0.1,-0.8
25,2013-12-19,3.0,0.0,2.3,3.0,1.4,0.9
26,2013-12-20,1.5,0.0,3.2,5.0,1.2,1.2
27,2013-12-21,2.5,0.0,4.0,4.6,2.6,0.7
28,2013-12-22,3.4,0.0,5.4,6.5,4.3,4.2
29,2013-12-23,4.0,0.0,4.0,5.7,1.8,3.2
30,2013-12-24,8.3,0.0,3.8,4.5,2.1,0.3
31,2013-12-25,8.3,0.0,4.9,5.5,4.0,4.1
32,2013-12-26,1.8,0.0,4.2,4.8,3.9,2.4
33,2013-12-27,2.0,0.0,4.1,4.9,2.9,2.7
34,2013-12-28,4.8,0.0,5.2,5.7,4.7,4.2
35,2013-12-29,0.7,0.0,4.9,5.7,4.4,4.6
36,2013-12-30,0.0,0.0,3.5,4.8,1.6,2.5
37,2013-12-31,1.0,0.0,3.7,4.5,0.5,-0.7
38,2014-01-01,0.3,0.0,3.2,5.0,1.8,3.6
39,2014-01-02,0.0,0.0,0.8,1.9,0.3,0.1
40,2014-01-03,0.1,0.0,1.4,1.6,0.8,0.5
41,2014-01-04,3.2,0.0,2.1,2.1,1.2,1.2
42,2014-01-05,0.0,0.0,4.1,4.8,1.6,1.3
43,2014-01-06,0.8,0.0,2.1,4.2,1.2,0.9
44,2014-01-07,10.8,0.0,3.2,3.6,2.5,2.2
45,2014-01-08,1.9,0.0,4.9,5.4,2.1,1.8
46,2014-01-09,10.9,0.0,4.4,5.1,3.7,3.5
47,2014-01-10,2.9,0.0,1.5,3.7,0.2,1.2
48,2014-01-11,1.3,0.0,-3.5,0.2,-4.4,-3.5
49,2014-01-12,0.3,3.0,-7.8,-4.3,-9.0,-7.7
50,2014-01-13,0.0,4.0,-10.9,-8.2,-13.0,-10.8
51,2014-01-14,0.0,4.0,-14.4,-12.8,-16.2,-18.3
52,2014-01-15,0.3,4.0,-11.4,-9.1,-14.9,-17.2
53,2014-01-16,0.0,5.0,-11.9,-8.5,-12.9,-16.799999999999997
54,2014-01-17,0.0,5.0,-13.3,-12.1,-14.5,-16.4
55,2014-01-18,0.1,6.0,-13.8,-11.6,-15.3,-14.3
56,2014-01-19,0.1,6.0,-13.1,-9.6,-17.5,-22.0
57,2014-01-20,0.5,6.0,-11.8,-9.0,-15.7,-20.6
58,2014-01-21,0.0,7.0,-11.0,-9.2,-13.2,-19.6
59,2014-01-22,0.0,7.0,-14.5,-12.2,-15.6,-20.7
60,2014-01-23,0.0,7.0,-15.6,-12.3,-17.6,-22.0
61,2014-01-24,0.0,7.0,-16.3,-13.8,-19.9,-24.8
62,2014-01-25,0.0,8.0,-8.0,-4.9,-17.2,-22.8
63,2014-01-26,0.1,7.0,-7.5,-5.3,-8.7,-8.1
64,2014-01-27,0.0,7.0,-7.7,-5.2,-8.9,-8.1
65,2014-01-28,0.0,7.0,-7.4,-5.6,-9.1,-8.9
66,2014-01-29,0.0,7.0,-8.1,-6.1,-8.7,-9.8
67,2014-01-30,0.0,7.0,-10.3,-7.8,-11.7,-13.2
68,2014-01-31,16.3,7.0,-9.0,-6.9,-11.0,-12.8
69,2014-02-01,1.1,18.0,-6.0,-4.8,-7.9,-7.8
70,2014-02-02,1.2,18.0,-3.0,-2.2,-5.1,-5.433333333333334
71,2014-02-03,0.7,17.0,-0.7,0.5,-3.3,-3.0666666666666664
72,2014-02-04,0.2,17.0,-0.3,0.7,-0.7,-0.7
73,2014-02-05,0.0,16.0,-3.1,-0.2,-4.8,-2.7
74,2014-02-06,0.1,16.0,-5.4,-2.5,-7.4,-12.3
75,2014-02-07,2.6,16.0,-1.4,0.6,-7.4,-11.5
76,2014-02-08,3.4,15.0,1.3,2.0,0.4,0.0
77,2014-02-09,0.9,12.0,1.9,3.2,0.8,0.2
78,2014-02-10,6.0,10.0,1.1,2.2,0.9,0.6
79,2014-02-11,2.2,12.0,0.1,1.0,0.0,-0.1
80,2014-02-12,3.0,13.0,0.7,1.4,-0.2,-0.2
81,2014-02-13,0.0,10.0,1.0,1.7,0.5,0.1
82,2014-02-14,0.0,9.0,0.6,1.4,0.3,0.1
83,2014-02-15,1.2,9.0,0.2,0.9,-0.2,-0.4
84,2014-02-16,1.8,10.0,1.2,2.8,0.0,-0.2
85,2014-02-17,1.4,7.0,1.6,2.6,1.1,1.0
86,2014-02-18,0.4,6.0,1.1,2.1,0.6,0.1
87,2014-02-19,0.0,5.0,0.5,1.8,-1.1,-3.1
88,2014-02-20,0.6,5.0,-1.9,0.7,-2.9,-1.3
89,2014-02-21,0.8,6.0,-2.0,-0.3,-4.7,-5.4
90,2014-02-22,1.5,5.0,1.7,2.2,-0.4,-0.6
91,2014-02-23,0.1,4.0,2.1,3.0,1.2,0.8
92,2014-02-24,0.0,0.0,3.3,4.8,1.6,1.3
93,2014-02-25,0.0,0.0,1.7,4.8,0.4,0.0
94,2014-02-26,0.0,0.0,0.1,1.5,-1.3,-4.4
95,2014-02-27,0.2,0.0,0.8,1.5,0.5,0.2
96,2014-02-28,0.0,0.0,0.7,1.2,0.2,-0.1
97,2014-03-01,0.0,0.0,-0.1,2.0,-1.6,-2.7
98,2014-03-02,3.5,0.0,0.6,1.4,0.2,-0.2
99,2014-03-03,3.1,0.0,0.7,1.2,0.2,0.0
100,2014-03-04,0.0,0.0,1.2,2.0,0.4,0.1
101,2014-03-05,0.0,0.0,1.2,3.3,0.3,0.4
102,2014-03-06,0.0,0.0,0.5,2.5,-1.6,-5.7
103,2014-03-07,3.0,0.0,1.5,2.7,0.1,0.1
104,2014-03-08,0.4,0.0,3.9,8.0,0.6,0.0
105,2014-03-09,0.0,0.0,3.2,6.1,0.5,-1.0
106,2014-03-10,1.6,0.0,4.3,9.6,2.4,1.3
107,2014-03-11,0.0,0.0,4.5,8.7,1.3,-0.4
108,2014-03-12,0.0,0.0,5.5,11.7,0.0,-1.7
109,2014-03-13,0.0,0.0,5.1,11.2,1.1,-1.0
110,2014-03-14,9.3,0.0,4.4,8.5,0.9,-0.3
111,2014-03-15,3.2,5.0,0.7,4.4,0.1,0.0
112,2014-03-16,0.1,5.0,-1.9,1.1,-3.4,-3.2
113,2014-03-17,0.0,6.0,-4.7,-0.8,-10.0,-17.1
114,2014-03-18,0.7,6.0,-2.3,1.1,-7.7,-13.9
115,2014-03-19,0.0,6.0,-2.5,1.5,-5.3,-10.1
116,2014-03-20,6.7,6.0,-3.1,-0.2,-9.5,-14.4
117,2014-03-21,0.4,9.0,4.4,9.0,-1.6,-7.8500000000000005
118,2014-03-22,0.0,0.0,3.2,6.8,0.7,-1.3
119,2014-03-23,0.2,0.0,2.4,4.7,0.9,-1.1
120,2014-03-24,0.0,0.0,3.7,8.7,0.6,-2.3
121,2014-03-25,0.0,0.0,4.8,8.8,0.6,-2.7
122,2014-03-26,0.0,0.0,3.6,6.8,0.0,-1.3
123,2014-03-27,0.0,0.0,4.6,10.5,-2.7,-6.8
124,2014-03-28,0.0,0.0,3.6,8.2,-0.3,-4.8
125,2014-03-29,0.0,0.0,3.4,7.9,-1.2,-6.0
126,2014-03-30,0.0,0.0,4.3,9.5,-1.5,-3.7
127,2014-03-31,0.0,0.0,1.2,4.9,-2.2,-3.6
128,2014-04-01,0.0,0.0,0.7,5.0,-3.2,-6.4
129,2014-04-02,0.0,0.0,0.6,4.5,-5.2,-9.3
130,2014-04-03,0.0,0.0,2.7,6.4,0.2,-0.9
131,2014-04-04,0.0,0.0,2.2,7.0,-3.0,-5.2
