date,rain_sum_7d,snow_var_7d,min_temp_2d,max_temp_2d,neg_rate_7d
2013-11-24,1.9,0.0,-2.8,-1.4,0.71
2013-11-25,1.9,0.0,-2.8,-1.4,0.71
2013-11-26,1.9,0.0,-2.8,-1.4,0.71
2013-11-27,1.9,0.0,-6.6,-2.8,0.71
2013-11-28,1.9,0.0,-6.6,2.8,0.71
2013-11-29,1.9,0.0,1.4,2.8,0.71
2013-11-30,1.9,0.0,-5.1,1.4,0.71
2013-12-01,1.9,0.0,-7.6,-5.1,0.71
2013-12-02,3.1,0.0,-7.6,-3.3,0.71
2013-12-03,3.3,0.0,-4.5,-3.3,0.71
2013-12-04,2.3,0.0,-4.5,2.0,0.71
2013-12-05,2.3,0.0,-3.5,2.0,0.57
2013-12-06,5.6,0.0,-3.5,-3.5,0.71
2013-12-07,9.6,0.0,-3.5,0.4,0.86
2013-12-08,8.7,0.0,-2.3,0.4,0.71
2013-12-09,7.5,0.0,-4.8,-2.3,0.71
2013-12-10,7.3,0.57,-8.9,-4.8,0.71
2013-12-11,9.7,0.95,-11.7,-8.9,0.71
2013-12-12,9.7,0.95,-11.7,1.4,0.86
2013-12-13,6.4,0.95,1.4,2.2,0.71
2013-12-14,2.4,0.95,-2.2,2.2,0.57
2013-12-15,2.4,0.95,-5.6,-2.2,0.71
2013-12-16,8.4,0.95,-5.6,-3.9,0.71
2013-12-17,9.7,0.57,-3.9,2.7,0.71
2013-12-18,7.3,0.0,2.6,2.7,0.57
2013-12-19,7.3,0.0,-0.1,2.6,0.43
2013-12-20,10.3,0.0,-0.1,1.4,0.57
2013-12-21,11.8,0.0,1.2,1.4,0.57
2013-12-22,14.3,0.0,1.2,2.6,0.43
2013-12-23,11.7,0.0,2.6,4.3,0.29
2013-12-24,14.4,0.0,1.8,4.3,0.14
2013-12-25,22.7,0.0,1.8,2.1,0.14
2013-12-26,31.0,0.0,2.1,4.0,0.14
2013-12-27,29.8,0.0,3.9,4.0,0.0
2013-12-28,30.3,0.0,2.9,3.9,0.0
2013-12-29,32.6,0.0,2.9,4.7,0.0
2013-12-30,29.9,0.0,4.4,4.7,0.0
2013-12-31,25.9,0.0,1.6,4.4,0.0
2014-01-01,18.6,0.0,0.5,1.6,0.0
2014-01-02,10.6,0.0,0.5,1.8,0.0
2014-01-03,8.8,0.0,0.3,1.8,0.0
2014-01-04,6.9,0.0,0.3,0.8,0.0
2014-01-05,5.3,0.0,0.8,1.2,0.0
2014-01-06,4.6,0.0,1.2,1.6,0.0
2014-01-07,5.4,0.0,1.2,1.6,0.0
2014-01-08,15.2,0.0,1.2,2.5,0.0
2014-01-09,16.8,0.0,2.1,2.5,0.0
2014-01-10,27.7,0.0,2.1,3.7,0.0
2014-01-11,30.5,0.0,0.2,3.7,0.0
2014-01-12,28.6,0.0,-4.4,0.2,0.0
2014-01-13,28.9,1.29,-9.0,-4.4,0.14
2014-01-14,28.1,3.0,-13.0,-9.0,0.29
2014-01-15,17.3,3.95,-16.2,-13.0,0.43
2014-01-16,15.7,4.14,-16.2,-14.9,0.57
2014-01-17,4.8,4.14,-14.9,-12.9,0.71
2014-01-18,1.9,2.95,-14.5,-12.9,0.86
2014-01-19,0.7,0.95,-15.3,-14.5,1.0
2014-01-20,0.5,0.81,-17.5,-15.3,1.0
2014-01-21,1.0,0.81,-17.5,-15.7,1.0
2014-01-22,1.0,0.95,-15.7,-13.2,1.0
2014-01-23,0.7,0.67,-15.6,-13.2,1.0
2014-01-24,0.7,0.57,-17.6,-15.6,1.0
2014-01-25,0.7,0.29,-19.9,-17.6,1.0
2014-01-26,0.6,0.48,-19.9,-17.2,1.0
2014-01-27,0.6,0.33,-17.2,-8.7,1.0
2014-01-28,0.1,0.14,-8.9,-8.7,1.0
2014-01-29,0.1,0.14,-9.1,-8.9,1.0
2014-01-30,0.1,0.14,-9.1,-8.7,1.0
2014-01-31,0.1,0.14,-11.7,-8.7,1.0
2014-02-01,16.4,0.14,-11.7,-11.0,1.0
2014-02-02,17.5,17.29,-11.0,-7.9,1.0
2014-02-03,18.6,28.81,-7.9,-5.1,1.0
2014-02-04,19.3,32.62,-5.1,-3.3,1.0
2014-02-05,19.5,31.67,-3.3,-0.7,1.0
2014-02-06,19.5,25.24,-4.8,-0.7,1.0
2014-02-07,19.6,14.95,-7.4,-4.8,1.0
2014-02-08,5.9,0.81,-7.4,-7.4,1.0
2014-02-09,8.2,0.95,-7.4,0.4,1.0
2014-02-10,7.9,2.95,0.4,0.8,0.86
2014-02-11,13.2,6.62,0.8,0.9,0.71
2014-02-12,15.2,6.14,0.0,0.9,0.57
2014-02-13,18.2,5.29,-0.2,0.0,0.43
2014-02-14,18.1,5.29,-0.2,0.5,0.43
2014-02-15,15.5,4.29,0.3,0.5,0.29
2014-02-16,13.3,2.57,-0.2,0.3,0.14
2014-02-17,14.2,2.29,-0.2,0.0,0.29
2014-02-18,9.6,4.0,0.0,1.1,0.29
2014-02-19,7.8,5.14,0.6,1.1,0.29
2014-02-20,4.8,4.0,-1.1,0.6,0.29
2014-02-21,5.4,4.24,-2.9,-1.1,0.29
2014-02-22,6.2,3.81,-4.7,-2.9,0.43
2014-02-23,6.5,3.24,-4.7,-0.4,0.57
2014-02-24,4.8,0.95,-0.4,1.2,0.57
2014-02-25,3.4,4.29,1.2,1.6,0.57
2014-02-26,3.0,6.29,0.4,1.6,0.57
2014-02-27,3.0,7.48,-1.3,0.4,0.57
2014-02-28,2.6,7.48,-1.3,0.5,0.57
2014-03-01,1.8,4.9,0.2,0.5,0.43
2014-03-02,0.3,2.29,-1.6,0.2,0.29
2014-03-03,3.7,-0.0,-1.6,0.2,0.29
2014-03-04,6.8,-0.0,0.2,0.2,0.29
2014-03-05,6.8,-0.0,0.2,0.4,0.29
2014-03-06,6.8,-0.0,0.3,0.4,0.29
2014-03-07,6.6,-0.0,-1.6,0.3,0.14
2014-03-08,9.6,-0.0,-1.6,0.1,0.29
2014-03-09,10.0,-0.0,0.1,0.6,0.29
2014-03-10,6.5,-0.0,0.5,0.6,0.14
2014-03-11,5.0,-0.0,0.5,2.4,0.14
2014-03-12,5.0,-0.0,1.3,2.4,0.14
2014-03-13,5.0,-0.0,0.0,1.3,0.14
2014-03-14,5.0,-0.0,0.0,1.1,0.14
2014-03-15,11.3,-0.0,0.9,1.1,0.0
2014-03-16,14.1,3.57,0.1,0.9,0.0
2014-03-17,14.2,5.95,-3.4,0.1,0.0
2014-03-18,12.6,8.24,-10.0,-3.4,0.14
2014-03-19,13.3,8.81,-10.0,-7.7,0.29
2014-03-20,13.3,7.67,-7.7,-5.3,0.43
2014-03-21,20.0,4.81,-9.5,-5.3,0.57
2014-03-22,11.1,1.81,-9.5,-1.6,0.71
2014-03-23,7.9,2.57,-1.6,0.7,0.86
2014-03-24,8.0,9.0,0.7,0.9,0.86
2014-03-25,8.0,14.14,0.6,0.9,0.71
2014-03-26,7.3,17.57,0.6,0.6,0.57
2014-03-27,7.3,19.29,0.0,0.6,0.43
2014-03-28,0.6,19.29,-2.7,0.0,0.29
2014-03-29,0.2,11.57,-2.7,-0.3,0.29
2014-03-30,0.2,-0.0,-1.2,-0.3,0.29
2014-03-31,0.0,-0.0,-1.5,-1.2,0.43
2014-04-01,0.0,-0.0,-2.2,-1.5,0.57
2014-04-02,0.0,-0.0,-3.2,-2.2,0.71
2014-04-03,0.0,-0.0,-5.2,-3.2,0.86
2014-04-04,0.0,-0.0,-5.2,0.2,1.0
2014-04-05,0.0,-0.0,-3.0,0.2,0.86
2014-04-06,0.9,-0.0,-3.0,-1.8,0.86
2014-04-07,3.3,-0.0,-1.8,1.8,0.86
2014-04-08,3.5,-0.0,1.8,2.2,0.71
2014-04-09,3.5,-0.0,-1.3,2.2,0.57
2014-04-10,3.5,-0.0,-1.5,-1.3,0.57
2014-04-11,3.5,-0.0,-1.5,0.0,0.57
2014-04-12,7.5,-0.0,0.0,2.1,0.57
2014-04-13,7.0,-0.0,2.1,2.4,0.43
2014-04-14,6.6,-0.0,2.4,3.3,0.29
2014-04-15,6.4,-0.0,3.3,3.3,0.29
2014-04-16,6.4,-0.0,0.4,3.3,0.29
2014-04-17,6.4,-0.0,-1.3,0.4,0.14
2014-04-18,6.4,-0.0,-1.3,1.6,0.14
2014-04-19,2.4,-0.0,1.6,4.7,0.14
2014-04-20,2.0,-0.0,3.7,4.7,0.14
2014-04-21,0.0,-0.0,3.4,3.7,0.14
2014-04-22,0.0,-0.0,3.4,3.5,0.14
